index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
761,Aloe 90% Soothing Gel,Beauty & Hygiene,Skin Care,It's Skin,400,400,Face Care,1,"This soothing gel from Its Skin is formulated with 90% of fresh aloe, green tea, watermelon, and mango peel extracts. Aloe vera leaf extract with excellent hydration and soothing properties helps to soothe skin and also keeps the skin smooth and supple. This nongreasy moisturizer doesn't feel sticky on the skin and gives instant skin freshness"
762,Assam Tea,Gourmet & World Food,Drinks & Beverages,Te-A-Me,80,80,Gourmet Tea & Tea Bags,3.5,"Tea Profile: TE-A-ME brings the season's fine Assam Tea, that extrudes the amber to orange liquor, which is strong and has exotic flavour profile from one of the region’s fine estates. This tea is known for its tart, malty flavor, vigorous body and bright color. Assam tea is the perfect tea to keep you warm on a rainy day or in a winter month. The variety is known to maintain your body warmth by slightly increasing your natural metabolism. With its higher caffeine content, Assam tea may help you to remain focused for an extended period of time and keep your mind alert and active. No added aromas, No added flavors, No artificial essences, Just pure tea! Our teas are 100% Natural, crafted by leading experts. Fresher the tea is, Healthier it is. TE-A-ME tea bags are heat-sealed, processed and packaged at our own Factory. This process locks in the freshness."
763,In-Shower Hair Removal Cream For Men & Women - Normal Skin,Beauty & Hygiene,Feminine Hygiene,Veet,450,450,Hair Removal,4.1,"Veet Hair Removal In-shower cream with Silky Fresh technology helps you experience silk smooth skin with a delightful scent while removing hair effectively. It not only hydrates your skin for up to 24 hours but is also clinically proven to provide up to 7 days of smoothness. Veet In Shower has been designed to fit in with your busy routine: with a unique combination of water-resisting ingredients, it works while you shower so you can get on with your day. Our Normal Skin formula enriched with Lotus flower extract, known for its softening properties, gives you nourished the skin - and hair regrowth feels softer, too. Takes from 3 - 6 minutes."
764,Chicken Nuggets,Snacks & Branded Foods,Frozen Veggies & Snacks,sumeru,269,269,Frozen Non-Veg Snacks,4,"Sumeru brings you tasty chicken nuggets, made with chicken mince, which is well-seasoned and beaded to give you a snack that you can enjoy anytime with your family, friends, or just with yourself."
765,Organic - Pumpkin Seeds/Kumbalakayi Bija,"Foodgrains, Oil & Masala",Organic Staples,bb Royal,375,475,Organic Dry Fruits,4,"These pumpkin seeds are abundant in protein, essential minerals and antioxidants. They are spiced and seasoned to make for a healthy yet tasty mid-meal snack. They are a rich source of minerals like manganese, phosphorus, magnesium, copper, zinc and iron and contain Vitamin E, which help prevent cardiac arrests and strokes and build immunity. They are rich in Omega-3 fatty acids, protein and antioxidants which makes them great for heart and liver health. Great and practical to carry on-the-go. BB Royal is a premium brand of organic staples by Big Basket. The entire range of products is sourced from the best of farms and products to ensure high-quality standards. All BB Royal products are cleaned and packed in hygienic facilities in high-quality food-grade packaging. There is a no questions asked return policy on all BB Royal products in a bid to provide you nothing but the best!"
766,Atlantic Salmon - Smoked Presliced,"Eggs, Meat & Fish",Fish & Seafood,Big Sams,1180,1180,Frozen Fish & Seafood,3.5,Smoked & Pre sliced Salmon
767,Evening Primrose Oil - Vegetarian Capsule (500 mg),Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,295,295,Hair Oil & Serum,5,"This Product contains Evening Primrose Oil that is known to help relive premenstrual tension, Skin allergies and dryness, nourish Scalp, hair and also reduce joint inflammation and Stiffness. For Beauty tips, tricks & more visit https://bigbasket.blog/"
768,Beetroot - Julienne,Fruits & Vegetables,Cuts & Sprouts,Fresho,26,32.5,Cut & Peeled Veggies,3.5,These edible ruby red roots are smooth and bulbous. Beetroots have the highest sugar content than any other vegetable. We deliver them fresh and uniformly sliced into thin long strips called the Julienne cut. Enjoy an effortless cooking that is less messy and much quicker because we value your time!
769,"Green Tea - Tulsi, Good Morning",Beverages,Tea,Wagh Bakri,75,150,Green Tea,3.5,"Tulsi, popularly known as Queen of Herbs, is the most sacred herb in India. It is infused with great heating power. Tulsi has recognized for its high medicinal properties and has found it useful in treating cough, cold and vocal disorders. Prepared by master tea blenders and tasters at Wagh Bakri Tea Group, the unique blend of Tulsi and green tea boosts health and well-being round the year."
770,Fabric Conditioner - Rose Fresh,Cleaning & Household,All Purpose Cleaners,Comfort,450,450,Imported Cleaners,3,"Makes clothes comfortably soft & freshner, easy ironing, less wrinkles"
771,"Graphene Anion Day Use, L",Beauty & Hygiene,Feminine Hygiene,Colleen,120,120,Sanitary Napkins,3.5,"COLLEEN INDIA'S 1st Graphene Anion Strip Sanitary Pad has Breathable layers that help to reduce menstrual cramps. It has a high absorbency and contains no toxins, perfumes, bleach. It leaves zero rashes and Itching. The enhanced embedded Graphene anion-chip negative ion and far-infrared ray function, within the sanitary napkins, inhibits the reproduction of anaerobic bacteria, micro- circulation, increases the growth of bio-enzyme, regulates acidic secretions in the vagina and improve women`s self-protection and disease prevention ability. The surface of “Graphene Anion” sanitary napkin can absorb trice as much as the amount of fluid traditional sanitary napkin can. Sufficient hydrogel could hold the penetrated water in, instead of letting them side leak or backflow 360-degree wrapping with Edge-Lock leak- proof technology."
772,Istanbul Juice/Whisky Glass Tumbler,"Kitchen, Garden & Pets",Crockery & Cutlery,Pasabahce,409,558,Glassware,4,This glass tumbler is made of tempered or toughened glassware for maximum safety of food service professionals as well as for the superior resistance and durability. Enhance the beauty of your in-house bar with this beautifully crafted crockery.
773,Organic - White Pepper,"Foodgrains, Oil & Masala",Organic Staples,bb Royal,70,75,Organic Masalas & Spices,4.3,"White pepper consists of only the inner seed with the pericarp removed by soaking and rubbing or by decorticating when dry. Its outer shrunken skin is rubbed off, exposing the dried, grayish-white pepper inside. Due to the anti-oxidant properties of pepper, it would promote the circulation of blood and oxygen in the skin making it more energized and fresh looking. It offers a tangy and spicy flavour when added to the preparations. White pepper is sharp in its taste and also has a pungent aroma."
774,Diet Chivda,Snacks & Branded Foods,Snacks & Namkeen,Garden,50,50,Namkeen & Savoury Snacks,4.2,"Garden Diet Chivda contains healthy ingredients and is well-known for its high purity, rich aroma, crispness and yummy taste. The delicious taste and low cholesterol content makes this chivda wonderful for evening coffee or tea."
775,Chilli Garlic Aioli Dip,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",All That Dips,160,200,Dips & Dressings,3.5,"Chilli Garlic Dip is one that excites everyone. Its has chunks of green chillies, garlic and a surprise of Mustard. All That Dips Aioli are creamy, rich and full of flavours. You can use as a dip, spread or as an ingredient in your cooking adventure."
776,Jasmine Heart Bath Personal Care Gift Set,Beauty & Hygiene,Bath & Hand Wash,Soulflower,1600,2000,Bath Salts & Oils,3.5,"Gift yourself or your loved ones Soulflower Jasmine Heart Bath set. Soulflower bath & body products provide you with your very own spa at home. The products range in our gift set are formulated by combining precious essential oils with the blend of natural and organic ingredients. The idea behind the whole creation is to provide you and your dear ones the natural and vegan skincare products which are healthy, regenerating and maintain body and skin balance.This aroma gift set was specially designed for those who love the richness of jasmine aroma and want to fully immerse in its exotic experience or want to gift their loved ones a mind alluring bath set. Each gift sets come in an attractive, colourful and handcrafted heart-shaped gift box to give to someone special containing Jasmine Aroma Massage Oil, Bhringraj Natural Oil, Jasmine Night Soap, Jasmine Aroma Potpourri"
777,"Loofah/Sponge Scrubber/Body - Pink, BH-064D PNK",Beauty & Hygiene,Bath & Hand Wash,BB Home,139,189,Bathing Accessories,3.5,"Remove all the dirt and exfoliate your skin as you use this pink loofah scrubber. It is composed using a microfiber cloth, which helps in forming great lather and cleanses the skin making it look smooth and gleaming. This loofah/scrubber is fashioned in a hand glove shape for convenient use."
778,Safe Sun Kids Sun Block Cream - SPF 25,Beauty & Hygiene,Skin Care,Lotus Herbals,232,335,Face Care,4,Spare your children from the searing sun by applying them Lotus Herbals Safe Sun Kids Sun Block Cream with SPF-25. It contains concentrates of chamomile blossoms for mitigating and supporting a youngsters skin. Gives complete UVA and UVB assurance for tan and sun blaze counteractive action. Tried for utilization by pediatricians and dermatologists. It consists of Chamomile Extract which has anti-provocative & alleviating properties which is useful for touchy skins. It provides complete UVA and UVB protection for tan and sunburn prevention. It is specially formulated for young and delicate skin that soothes and nourishes a childs skin. Protect the skin of your child from solar radiations using Lotus Herbals Safe Sun Kids Sun Block Cream with SPF 25.
779,Pasta & Pizza Sauce - No Onion & No Garlic,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Veeba,89,89,Mayonnaise,4.2,Experience the full flavour of pasta-pizza sauce without any onion or garlic. It is made from 38% fresh tomatoes and herbs. Use it as a dressing or a dip sauce.
780,Soap Case - Glory,Beauty & Hygiene,Bath & Hand Wash,Reliance Plast,85,85,Bathing Accessories,5,"Our Soap Dish is made of plastic infused with Microban which inhibits the growth of odor-and stain-causing bacteria For Beauty tips, tricks & more visitÂ https://bigbasket.blog/"
781,Peanut Butter - Chunky,Gourmet & World Food,"Sauces, Spreads & Dips",American Garden ,299,299,"Chocolate, Peanut Spread",4.1,
782,Skin Gel - Under Eye,Beauty & Hygiene,Skin Care,Richfeel,189,189,Eye Care,3,"Richfeel Under Eye Gel helps reduce fine lines. A soothing, revitalizing gel to counteract the effects of stress on the eyes. It is enriched with aromatic extracts of peach and plant extracts of badiaga."				
783,"Honey Comb Touch Non-Stick Flat Tawa - 260 mm, Black","Kitchen, Garden & Pets",Cookware & Non Stick,Nirlon,429,799,Tawa & Sauce Pan,3.7,"Nirlon Non-Stick Cookware with honeycomb structure is a premium product offering in the Flat Tawa category. This Flat Tawa is 5 layer cookware with Inner Surface Centre Virgin Aluminum, Outer Compatible Aluminum. Its unique honeycomb design makes it metal spoon friendly and ensures prolonged non-stick performance compare to other non-stick cookware. It is more efficient than any aluminium cookware in terms of even-heat distribution, little or no hot spots and comes with 260 mm base thickness."
784,"Face Mask - Pro Tech 95, 6 layered, Medium, MK18003",Beauty & Hygiene,Health & Medicine,T BASE,249,299,Face Masks & Safety Gears,3.6,"T-base mask 6 layered reusable cotton fabric mask, Nose wire across the top of the mask allows it to be contoured over the nose for a better fit and protection against germ spread, soft elastic earloops for extra comfort. Available in an assortment of exclusively print and colours, extremely breathable fabric, washable and reusable."
785,Hand Soap - Lavender & Chamomile,Beauty & Hygiene,Bath & Hand Wash,Skin Cottage ,225,225,Hand Wash & Sanitizers,5,"Calm Restore Refresh Made in Malaysia. Content - 500ml. pH - 5.5. Designed to gently cleanse and leave skin feeling refreshed. Delicately scented with a refreshingly Lavender & Chamomile. For Beauty tips, tricks & more visitÂ https://bigbasket.blog/"
786,Durum Wheat Pasta- Penne Rigate 500 g Carton + Pasta Sauce- Arrabbiata 400 g Jar,Gourmet & World Food,"Sauces, Spreads & Dips",Barilla,598,598,Pastas & Spaghetti,3.5,"Barilla Penne Rigate is one of the most versatile pasta, known for its adaptability with recipes and occasions, from a traditional family lunch or official grown dinner. Try Penne Rigate with easy tomato sauce, vegetables, with or without meat and enjoy an authentic Italian meal.Feature: It is made with 100% durum wheat semolina, GMO free. It has no maida. Nutrients: Excellent source of energy, naturally low in fat with a low glycemic index that keeps you fuller for longer. Trusted: Made in Italy with over 140 years of craftsmanship, making high quality pasta that cooks perfectly every time. Barilla arrabbiata combines carefully selected fresh tomatoes, garlic, and parsley with a tantalizing touch of crushed green chili peppers to create authentic Italian meals with a memorable kick."
787,Oil - Gingelly,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Idhayam,279,299,Gingelly Oil,4.2,"Idhayam Gingelly Oil guarantees you the best health by pushing your Blood Pressure down, lowering your Cholesterol and maintains your skin healthy. It's soft for heart that adds zest to the cuisine. Sesame oil offers good oral health too. Furthermore it shows its major significance in stuffs like marinades, sauces, vinaigrettes and dressings that suggests you good flavor along with good health."
788,Ragi - Whole,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,57,60,Organic Dals & Pulses,3.8,"For 1 Cup Serving : Calories - 286 g,Fat - 2.0 g"
789,"Capsules - Shilajit Gold for Strength, Stamina & Power",Beauty & Hygiene,Health & Medicine,Dabur,322.5,430,Ayurveda,3.5,"Dabur Shilajit Gold, a 100% Ayurvedic formulation for effective strength & stamina. With pure Shilajit for Power, and enriched with Gold for Stamina, Kesar for Strength, Ashwagandha for Energy, Safed Musli to Counter Weakness. Dabur Shilajit Gold is a unique combination of Shilajit, Gold, Kesar and other important herbs like Ashwagandha , Kaunch Beej and Safed Musali. Shilajit Gold is good for general health and helps increase strength, stamina and vigor. Recommended dosage (Adults) is One Capsule twice a day or as directed by Physician preferably with milk."
790,100% Melamine 3D Soup Spoon - Blue,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,264,264,Plates & Bowls,3.5,"Iveos soup spoons are used to stir and drink the soups. It is made to consume soup or the soup made with particles of solid food, such as meat, vegetables, grains, and pasta. A soup spoon is a type of spoon with a large or rounded bowl, used for consuming soup. The term can either refer to the British soup spoon or the Chinese spoon. Round bowled soup spoons were a Victorian invention."
791,Signature Gold Dark Vanilla & Oud Wood Perfume,Beauty & Hygiene,Fragrances & Deos,Axe,360,450,Men's Deodorants,3.6,"The World’s # 1 Male Deodorant Axe, presents ‘Axe Signature Gold’ Ultra Premium Perfumes. A range of fine fragrances that are packaged in beautiful and stylish matte glass bottles. Designed by the world’s leading perfumers, each Axe Signature Gold fragrance is specially crafted with some of the world’s most exotic and refined ingredients to bring out what’s unique in you. A suave and warm, woody fragrance that will play with your senses. One moment it’s tart mandarin, the next warm oud, then the sweet scent of vanilla before diving into a dark and smoky cloud of tobacco. This unique blend of fragrance notes will mesmerise you. Make every special occasion extra special with Axe Signature Gold Dark Vanilla and Oud Wood Perfume. Spray it on your pulse points, the heat generated by your pulse intensifies the fragrance and amplifies its projection."
792,"Super Moist Cake Mix - Yellow, Imported",Gourmet & World Food,Cooking & Baking Needs,Betty Crocker,445,445,Flours & Pre-Mixes,3.5,"Bowl to oven in minutes. Thank you for welcoming us into your home. We hope what’s inside this box helps you bring more love to your table. Cordially yours, Betty Crocker's super moist yellow cake mix is made with no preservatives and no artificial flavours. Just seven ingredients in the box. Bowl to oven inminutes. Makes one 13"" x 9"" pan. The red spoon is my promise of great taste, quality and convenience."
793,"Organic Pure Sweetener Blend - 1:4 Sugar Replacement Powder, Unbleached",Gourmet & World Food,"Sauces, Spreads & Dips",D-Alive,499,499,Thai & Asian Sauces,3.5,"Sweetness in our superfood blend comes from organic green Stevia leaf powder (0 carbs & calories), blended with naturally nutrient-rich organic coconut sugar (GI=35, much lower than jaggery/dates). Our special blend gives you the satisfaction and satiety of eating sugar without empty carbs and addiction. Using selective ‘no nasty’ organic, ultra-low GI, nutrient-dense, slow-releasing ingredients, this superfood leaves you feeling satisfied! Plant-Based Healthy Sweetener Blend 1:4."
794,"100% Whey Protein, Rich Chocolate",Beauty & Hygiene,Health & Medicine,IN2,2000,2000,Supplements & Proteins,3.5,"IN2 Whey Protein is an Ultra-Premium Muscle Building Protein Powder. This protein powder features multiple quality whey proteins resulting in a nutritious and multi-functional protein supplement that enables a superior bioavailable protein source for athletes. Whey is considered to be the best source of protein due to its high Biological Value (BV), Amino acid profile and fast absorption to give your body what it needs to build muscle and recover. IN2 Whey Protein uses a superior cold microfiltration process to guarantee a higher quality Whey Protein."
795,Chemba Puttu Podi,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Double Horse,145,145,Rice & Other Flours,4.3,"Red Rice or chemba Podi is a vegetarian promise and it will be a perfect treat to your taste buds. It contains iron, vitamin E, protein, antioxidants, and other essential nutrients. This steamed food has a rich taste and flavour. Relish the soft and tasty Red Rice for your breakfast."
796,Ratnagiri Alphonso,Beverages,Fruit Juices & Drinks,B Natural,114,120,Juices,3.5,The new B Natural Transparent Range presents the most authentic indulgence of Mango. The Alphonso Mango is sourced from Ratnagiri to provide the best mango experience and the goodness of B Natural's new range of bottled beverages. And what's more? This beverage is made from 100% Indian fruits and not from concentrate.
797,Water Wiper - Nano,Cleaning & Household,"Mops, Brushes & Scrubs",Milton - Spotzero,149,149,"Mops, Wipers",2.2,"The Milton Spotzero Steel handle wiper is safe on all surfaces. The base of the product is made from rubber, which makes it easier to pushwater along the floor. The handle has a loop for hanging. This product is made from high- grade material which ensures long lasting life."
798,Tomato Salsa Dip - Enjoy With Nacho Chips,Gourmet & World Food,"Sauces, Spreads & Dips",Habanero,157.5,175,"Hummus, Cheese, Salsa Dip",3.5,"Traditional Mexican Style– A family gathering, having friends over or just to relax at home – dips and chips are the go-to snacks for any occasion. Made with flash-grilled tomatoes and onions, our Tomato Salsa is a traditional Mexican style dip, oozing with authentic taste."
799,Canadian Grade A Maple Syrup,Gourmet & World Food,"Sauces, Spreads & Dips",Maple Joe,481.5,535,Honey & Maple Syrup,3.8,"A healthy way to satisfy your sweet tooth - Maple syrup makes for an excellent accompaniment for food. With its amber colour, its warm notes of caramel and vanilla, and its unique flavour, Maple Joe Maple Syrup should be used as an add-on to your delicious pancakes, wafers, oatmeal, and more. It offers a rich favour without the disadvantages of plain old sugar and is one reason why it is so popular and is growing to be a preferred natural sweetener. Great Source of Nutrients:-All things sweet need not necessarily be unhealthy. Maple Joe, additives free Maple syrup, contains four nutritious minerals, namely, calcium, potassium, magnesium, and manganese. These minerals work in tandem that benefits your body in many ways, starting from strengthening your bones, to regulating your blood sugar. Maple Joe's delicious caramelised flavour also makes it a super healthy alternative to sugar!"
800,"Harippa Roasted Seeds - Pumpkin, Cheesy Onion",Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,120,120,Roasted Seeds & Nuts,4.8,"Inspired by natural foods consumed by our forefathers, True Elements provides a select range of Snacks andm Supplements, that stand for what our forefathers believed in, but packed and modified for the current generation!"
801,Premium - 3 Follow-Up Formula,Baby Care,Baby Food & Formula,Dexolac,595,595,Infant Formula,4.5,"Dexolac Premium Stage 3 Follow Up Formula is a powdered milk substitute for babies after 12 months up to 24 months of age. It is specially designed for the baby’s overall growth & brain development. Dexolac Premium contains Neuronutrients like Omega 3 & 6 Fatty acids (precursors of DHA & ARA), Taurine, Choline, Iron & Iodine to help in overall brain development. Contains nutrients like Nucleotides, Selenium, Zinc, and Vitamins A, C, E that support immune function. Improves digestive health with easy to digest Whey proteins, Lactose, and Nucleotides to support the growth of useful bacteria. Formulated with Calcium, Phosphorus, Magnesium, and Vitamin D to help strengthen bones. Dexolac Premium contains optimal levels of Neuronutrients to facilitate the normal brain development of a baby. Unboiled water, unsterilized bowl and spoon or incorrect dilution may endanger the infant’s health."
802,Hand Wash - Green Apple,Beauty & Hygiene,Bath & Hand Wash,50ap,198,198,Hand Wash & Sanitizers,3.4,"This sweet, ultra-lathering hand wash with a scent of fresh green apples is delightful and uplifts your senses.For Beauty tips, tricks & more visit https://bigbasket.blog/"
803,Energy Bar Hazelnut Magic 6 pcs + Energy Bar Oat & Apricot 6 pcs,Snacks & Branded Foods,Breakfast Cereals,On The Run,600,600,Granola & Cereal Bars,3.5,"Dates, hazelnuts, oats and with the power of ashwagandha, it cannot get any better! Whether you need a pre-exercise boost or looking to balance your sugar levels, dates and honey will provide you with a nutritionally balanced blast of sustained energy. Use it as a mid-meal snack or when you crave for a sweet! Hazelnuts are high in healthy polyunsaturated and monounsaturated fats. Ashwagandha will keep you fighting fit!Looking for fibre? Looking for something healthy to keep yourself full for a longer time.This baked bar with oats, walnuts, cranberry, honey and apricot is just the thing you need when hungry. Mild in its sweetness, this bar derives its slightly sour taste from apricots. Oats contain high levels of soluble fibre giving the extended sensation of fullness."
804,Stevia Tablets Dispenser,Gourmet & World Food,Cooking & Baking Needs,So Sweet,120,120,Exotic Sugar & Salt,4,"So Sweet Stevia Tablets are made of 100% natural Zero calorie sweetener and in the best and healthiest alternative to sugar and artificial sweeteners in daily life (Zindagi). No calories, no carbohydrates, and no artificial ingredients. The non-glycaemic response, no bitterness, no aftertaste. Verified NON-GMO Product. Zero glycaemic Index, safe for diabetics. Smooth taste, Sweet taste, Kosher Certified extract used. 100% natural extraction process of sweetener. Extraction is done, using only water."
805,"Steel Spoon set - Ice cream, Monde","Kitchen, Garden & Pets",Crockery & Cutlery,Anjali,115,150,"Cutlery, Spoon & Fork",4.3,"Anjali spoons simple yet elegant design adds class to the dining area and are a must for every home. They are made using stainless steel that enhance the durability of the utensils, and helps them retain their shine even after multiple wash cycles."
806,My Dream For Him - Perfumed Deodorant Natural Spray,Beauty & Hygiene,Fragrances & Deos,Embark,295,295,Men's Deodorants,3.5,"About My Dream For Him: Tomorrow is a blank slate. So bring those fresh ideas. Move out of the box. Ditch the common route. Go where your heart takes you. The woody, marine fragrance of My Dream, infused with energizing mandarin and grapefruit, is your carefree spirit and sense of adventure, bottled for eternity.A deep ever-lasting freshness. Fragrance Family: Woody - Marine The Note Story- The Top Notes has Grapefruit and Mandarin, which gives the most impact and initial spark. The Heart Notes belongs to the character to the fragrances. The Base Notes contains Mossy and Amber, which provides long-lasting freshness."
807,Imli Khajoor Chutney,"Foodgrains, Oil & Masala",Masalas & Spices,Madhur,90,90,Cooking Pastes,4.4,Imli Khajoor Chutney is a classic Indian chutney made with dates that lend sweetness to the chutney and tamarind that makes it tangy. This khatta-meetha Date and Tamarind Chutney Recipe is a must when making chaat. Keep in a cool & dry place. 100% vegetarian.
808,Water & Juice Glass - Long,"Kitchen, Garden & Pets",Crockery & Cutlery,Krosno - Europe,1099,1099,Glassware,5,"Krosno glasses have been crafted by the finest artists and designs. These glasses combine unique design, exquisite workmanship and latest technological advancements, and are perfect to add to the sophistication and beauty of your home and bars. All of Krosno products are recognised at home and abroad for its quality, beauty, sophistication and crystal clarity."
809,Dry Dates/Kharjura/Chuara,"Foodgrains, Oil & Masala",Dry Fruits,Soulfit,699,699,Other Dry Fruits,4,"Brown dates are loaded with compound carbohydrates and natural sugars like sucrose, glucose and fructose which makes it a great source of instant and long-lasting energy."
810,Express Shine Sponge - Black,Cleaning & Household,Car & Shoe Care,Kiwi,72,72,Shoe Polish,4.2,Gives an instant shine to leather Extremely easy to handle and apply A unique polish indicator which shows the amount of polish left helps efficient and optimum use of the product.
811,"Storewell Airtight Plastic Container - Transparent, With Purple Lid","Kitchen, Garden & Pets",Storage & Accessories,Laplast,339,769,Containers Sets,4,These plastic airtight storewell containers are ideal for household kitchen use. Our kitchen storewell containers are made of high-quality food-grade plastic and they are easy to store in modular kitchen. They are available in size of 1750ml each.
812,Olive Oil - Pomace,Gourmet & World Food,Oils & Vinegar,Basso,499,499,"Pure, Pomace Olive Oil",4.3,"Olive-Pomace oil is made from the residue left after producing virgin olive oil. Olive Pomace Oil is the main cooking grade oil. It is a light oil with neutral taste and flavor and is the most suitable oil for Indian cuisine. Olive pomace oil is obtained by treating the olive residue paste (after the fruit has been pressed) with solvents to extract the oil and then blending this product with extra virgin oil in order to enhance the product and its health benefits. Olive pomace oil is the least expensive olive oil. Why Olive Oil :-Olive oil is the world´s healthiest cooking oil with the highest levels of MUFA 82% (good fat) and one of the lowest levels of saturated fat 10% (bad fat). MUFA in olive oil lowers cardiac risk, and also reduces the risk of diabetes.Fried is in Oily is out."
813,Chai/100% Melamine Water/Juice Tumbler - Red,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,149,192,"Cups, Mugs & Tumblers",3.8,"This tumbler set is 100% food grade. Made from melamine, it is hygienic and odourless. It has a glazed finish. These glasses can be used for multiple purposes. It looks elegant and stylish at the same time."
814,100% Green Tea,Beverages,Tea,Sprig Tea,141.55,149,Green Tea,3.8,"Energise & jumpstart your metabolism with green tea. Scores of studies have indicated that green tea leaves can promote a healthy metabolism. This is vital to keep your energy levels up and cope with the stress of a typical workday. Our uplifting, 100% pure green tea supplies an abundance of anti-oxidants. These in turn, eliminate damaging free radicals in the body and help essential metabolic pathways perform optimally. Energise is an excellent tonic for a tired body and mind. Tea is crafted from tender green tea leaves with nothing else added. Hit refresh with a piping hot cup of Tea or enjoy it in a tall glass with ice and a twist of lime."
815,Papad - Special Punjabi Masala,Snacks & Branded Foods,Ready To Cook & Eat,Atish,90,90,"Papads, Ready To Fry",3.2,"Urad Dal Flour, Salt, Water, Hings, Calcium Bi- Carbonate (Papad Khar), Edible Oil, Black Pepper etc."
816,"Anti Viral & Anti Pollution N95 Face Mask - Tesu, Large, Assorted",Beauty & Hygiene,Health & Medicine,Airific,1195,1195,Face Masks & Safety Gears,3,"Airific Anti-Viral & Anti-Pollution Masks are advanced technology masks that keep out >95% of particulate matter, contaminants and >99% of bacteria. It is suitable for all and is available in various sizes. It's also a fashionable mask. Premium, reusable anti-viral and particle filtering mask Viral Filtration Efficiency(VFE) – > 99% Certified N95 and FFP2 respirator Comfortable with extremely low breathing resistance Leading-edge nanotechnology filter. Uses: It protects from harmful dust, pollution and bacteria to enter the body.Disclaimer - We have suspended returns on Face Mask products for the safety of our customers and delivery agents. We will update the policy once the situation has resolved. Thank you for your support and understanding."
817,Cookies - Cashew,Snacks & Branded Foods,Biscuits & Cookies,Unibic,36,40,Cookies,4.1,"Baked with Real Butter, Contains added artificial flavour ( Vanllin) Contains Gluten, Milk, Soy and Nut Store in a cool, dry place and away from direct sunlight. Once opened, store in an air tight container Please dispose of this package thoughtfully"
818,"Plastic Bucket With Handle - Off Ivory, New Nova, 15400",Cleaning & Household,Bins & Bathroom Ware,Ratan,307,307,Buckets & Mugs,4.4,"These buckets come in a varied range and are strong yet lightweight. These buckets can be used for indoor needs like bathroom bucket, home cleaning bucket, water storage as well as outdoor purposes like gardening, cleaning etc. It comes with a range of capacities and colour options."
819,Millet Idly & Dosa Batter,Snacks & Branded Foods,Ready To Cook & Eat,Batter Box,100,100,Breakfast & Snack Mixes,3.9,"This batter makes fluffy idlis, crisp dosas, soft uthappams and crispy paniyaram equally well. There is no difference in colour, taste and texture of millet batter compared to regular batter. They are gluten-free, rich in fibre, magnesium, proteins, minerals and hence can be helpful in maintaining weight, blood pressure, controls diabetics and also promotes heart health. Strictly we do not use any undesirable ingredients like stabilizers, preservatives and soda."
820,Plastic Clip Mop - 350,Cleaning & Household,"Mops, Brushes & Scrubs",Gebi ,249,349,"Mops, Wipers",3.5,"Gebi presents their innovative range of household cleaning products that are made with premium quality material that ensures durability and strength making them last for a longer time. They can be used for all cleaning purposes and on all surfaces such as, bathrooms, kitchens, sofa, living room, etc. making them convenient and handy for your daily household cleaning."
821,"Prawns, Peeled & Deveined","Eggs, Meat & Fish",Fish & Seafood,Fresho,405,699,Fresh Fish,3.5,"Product weighed before cleaning and cutting. White Prawns are extraordinary for tender texture, their size and their mild aroma. They are great for Louisiana BBQ shrimp, shrimp boils and other preparations where they can infuse in the flavors of the dish and their feel really stands out. A 100 g serving of white tiger prawns has only 148 mg of sodium, 152 mg of cholesterol and 1.5 grams of fat, 20 grams of protein and 106 calories."
822,Serum Vegital Perfecting Toning Lotion - For All Skin Types,Beauty & Hygiene,Skin Care,YVES ROCHER,697,850,Face Care,3.5,"This targets every type of wrinkle thanks to the powerful anti-wrinkle action of the ice plant. This fresh, invigorating Perfecting Toning Lotion is essential to perfect cleansing and makeup removal. It offers gentle exfoliating action that revives tone and radiance and refines the texture of the skin for an instant new- skin effect. It softy removes makeup and hydrates skin. This product is inspired from plants. It is paraben free, and colourant free. It is tested under dermatological supervision."
823,"Spring Roll Sheets - 6""x6""",Snacks & Branded Foods,Frozen Veggies & Snacks,Switz,100,110,Frozen Veg Snacks,4,"Switz is the only focused manufacturer of authentic, wheat batter-based, all-purpose spring roll pastry in India. Switz Spring Roll Sheets have high elasticity and strength. Big or small, fried or baked (at 180-degree Celsius or till its golden brown), sweet or savoury, what you will make at home will always be crispy. Just let your imagination go wild on the fillings, and make food magic.Switz Spring Roll Sheets Filling Suggestions: Chicken, mix veg, macaroni and cheese, noodle spring roll, baby corn lollipop Other recipes: Banana fritters, chocolate cigars, money bags, fried wontons, fish roll, tarts, cheese-filled bites. It is suitable for both fresh and frozen preparation."
